CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
2,Albania,ALB,Eastern Europe,0.3322368421052631,0.23423423423423426,0.13091922005571038
14,Belarus,BLR,Eastern Europe,-0.05921052631578938,-0.06981981981981975,-0.10863509749303618
20,Bosnia and Herzegovina,BIH,Eastern Europe,0.17763157894736842,0.2409909909909909,0.0027855153203343017
23,Bulgaria,BGR,Eastern Europe,0.3157894736842105,0.2409909909909909,0.20055710306406693
41,Croatia,HRV,Eastern Europe,0.3388157894736843,0.33333333333333326,-0.011142061281337007
43,Cyprus,CYP,Eastern Europe,0.3618421052631578,0.27252252252252257,0.17548746518105843
44,Czech Republic,CZE,Eastern Europe,0.4967105263157894,0.43918918918918926,0.3314763231197773
54,Estonia,EST,Eastern Europe,0.536184210526316,0.4617117117117117,0.4122562674094707
64,Greece,GRC,Eastern Europe,0.16447368421052633,0.24774774774774788,-0.11420612813370458
72,Hungary,HUN,Eastern Europe,0.2697368421052633,0.2409909909909909,0.08913649025069646
92,Latvia,LVA,Eastern Europe,0.48026315789473656,0.42342342342342343,0.23955431754874676
98,Lithuania,LTU,Eastern Europe,0.4901315789473685,0.4031531531531532,0.34540389972144864
112,Moldova,MDA,Eastern Europe,0.03289473684210514,0.051801801801801904,-0.07520891364902495
114,Montenegro,MNE,Eastern Europe,0.19736842105263147,0.2387387387387387,-0.03621169916434533
132,Poland,POL,Eastern Europe,0.31250000000000006,0.3040540540540542,0.1671309192200557
135,Romania,ROU,Eastern Europe,0.4210526315789472,0.3536036036036035,0.18941504178272972
136,Russia,RUS,Eastern Europe,-0.16118421052631585,-0.2409909909909909,-0.08077994428969355
144,Serbia,SRB,Eastern Europe,0.15460526315789466,0.16666666666666674,0.05849582172701954
148,Slovak Republic,SVK,Eastern Europe,0.3914473684210525,0.3536036036036035,0.08913649025069646
149,Slovenia,SVN,Eastern Europe,0.3749999999999999,0.4076576576576576,0.10306406685236777
172,Ukraine,UKR,Eastern Europe,-0.18750000000000008,-0.09234234234234238,-0.2646239554317549
